,place,category,location
316,촉도대하,중식당,경기도 수원시 팔달구
317,2y s,테마카페,부산광역시 해운대구 우동
318,미담램양꼬치 동백점,양꼬치,경기도 용인시 기흥구
319,소울브릿지,카페|디저트,강원도 고성군 토성면
320,스테이크고릴라,스테이크|립,경기도 포천시 자작동
321,CAFE EPL,베이커리,제주특별자치도 서귀포시 남원읍
322,솔밭해장국,감자탕,경기도 성남시 분당구
323,바삭알까스,돈가스,서울특별시 광진구 중곡동
324,쭈꾸미여왕,주꾸미요리,경기도 수원시 권선구
325,차덕분,차,인천광역시 중구 중산동
326,종갓집양곱창,곱창|막창|양,부산광역시 연제구 거제동
327,갓포데루,일식당,경기도 수원시 영통구
328,바다정원,카페|디저트,강원도 고성군 토성면
329,앨리스라운드 월정리점,베이커리,제주특별자치도 제주시 구좌읍
330,감각,카페,서울특별시 노원구 상계동
331,오버스토리,카페,서울특별시 성북구 성북동
332,버거307 구래점,햄버거,경기도 김포시 구래동
333,엘더버거,햄버거,서울특별시 성동구 성수동1가
334,오팔,한식,서울특별시 성동구 성수동2가
335,때론347,카페|디저트,강원도 삼척시 당저동
336,수애기베이커리,베이커리,제주특별자치도 서귀포시 대정읍
337,르브리에,브런치,서울특별시 종로구 팔판동
338,피셔맨스키친 파주운정점,이탈리아음식,경기도 파주시 목동동
339,DOTZ,아시아음식,서울특별시 용산구 한남동
340,Komune,카페,서울특별시 용산구 한남동
341,미분당 부천시청점,베트남음식,경기도 부천시 중동
342,성별에이유,브런치,경기도 고양시 일산동구
343,부일막국수,막국수,강원도 삼척시 갈천동
344,카페 페트로스,카페,인천광역시 서구 청라동
345,다감적,차,광주광역시 북구 우산동
346,온센 청주점,일식당,충청북도 청주시 흥덕구
347,마이버킷,카페|디저트,대구광역시 달서구 상인동
348,아덴,카페|디저트,경상북도 경주시 신평동
349,스시쿠루마,초밥|롤,대전광역시 중구 대흥동
350,돈까츠야,돈가스,인천광역시 부평구 산곡4동
351,아우라키친,덮밥,제주특별자치도 제주시 아라2동
352,폴인팬케이크 홍대점,카페,서울특별시 마포구 서교동
353,풍호맛뜨락,생선회,강원도 강릉시 노암동
354,트리플선카페,카페|디저트,충청북도 단양군 단양읍
355,로그,카페|디저트,경기도 양주시 은현면
356,도돌이표,베이커리,서울특별시 은평구 진관동
357,해미읍성왕꽈배기 줌마리카페,카페|디저트,충청남도 서산시 해미면
358,서면 고메,카페|디저트,부산광역시 부산진구 전포동
359,허머스키친,아시아음식,서울특별시 강남구 삼성동
360,137카페,카페,경기도 파주시 서패동
361,송영희돈까스부경대점,돈가스,부산광역시 남구 대연동
362,베이크샵버터컵,카페|디저트,경기도 고양시 일산서구
363,강릉유환식당,게요리,강원도 강릉시 초당동
364,이석덕생면파스타,이탈리아음식,서울특별시 마포구 연남동
365,카페 아래치,카페|디저트,부산광역시 사하구 당리동
366,HAMACOOK,카페|디저트,서울특별시 노원구 상계동
367,그래비테이트,카페,경기도 수원시 팔달구
368,스시박사,초밥|롤,서울특별시 노원구 상계동
369,데이로우,카페|디저트,서울특별시 용산구 한남동
370,카페페이지,카페|디저트,경기도 부천시 원종동
371,콜링우드,카페|디저트,경기도 수원시 팔달구
372,수우동,일식당,제주특별자치도 제주시 한림읍
373,달인참치 야탑점,생선회,경기도 성남시 분당구
374,스스무,와인,서울특별시 용산구 이촌동
375,진1926 문정점,육류|고기요리,서울특별시 송파구 문정동
